Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast
DAB2	P98082	1.42584962964455	28.1398820436038	8.28023055151061	8.44416245965664e-08	0.000115671770720545	7.84707125799695	MKLN1_control-MKLN1_knockout
S100A4	P26447	3.24139298056783	30.8758466211911	8.24814512900105	8.96193593656157e-08	0.000115671770720545	7.79542827460638	MKLN1_control-MKLN1_knockout
NUP210	Q8TEM1	1.94765743367538	27.4308003023983	7.78377846961411	2.15303007547021e-07	0.000168797557916865	7.02964447790085	MKLN1_control-MKLN1_knockout
TRIO	O75962	-1.08505794212572	27.656530360617	-7.55719550191198	3.33665141892986e-07	0.000214031021926992	6.64340748224323	MKLN1_control-MKLN1_knockout
CPS1	P31327	2.68488276512353	29.5957293670831	7.24179859834856	6.21075187213457e-07	0.000335439824194962	6.09194020054014	MKLN1_control-MKLN1_knockout
CAVIN3	Q969G5	-0.849909494786253	28.7610093376002	-6.54386109478005	2.5760135348557e-06	0.00090881757509709	4.81457896321045	MKLN1_control-MKLN1_knockout
FH	P07954	0.495822461502815	29.884216765977	6.04538050986261	7.40122881888017e-06	0.00174076901820062	3.8554727217654	MKLN1_control-MKLN1_knockout
IGFBP7	Q16270	-0.863219375436096	28.3729380438106	-5.57136390925613	2.07777813600594e-05	0.00379507460997915	2.90981618021044	MKLN1_control-MKLN1_knockout
PLOD2	O00469	0.626999963378911	29.5753667336729	5.3987093022422	3.04552755393174e-05	0.00477538720456496	2.55794793737197	MKLN1_control-MKLN1_knockout
VAT1	Q99536	-0.787232034288071	29.9617191214359	-5.33029318056312	3.54688792100498e-05	0.00510751860624717	2.41750891503011	MKLN1_control-MKLN1_knockout
STOM	P27105	0.517220142405506	30.0616409934701	5.08646186860041	6.12869038950053e-05	0.00691065014923566	1.91268646802097	MKLN1_control-MKLN1_knockout
GALNT2	Q10471	0.814773484565567	29.722583440133	5.07327485637609	6.31367935480394e-05	0.00691065014923566	1.8852042515131	MKLN1_control-MKLN1_knockout
ANPEP	P15144	-1.70026225688321	28.5236120381435	-5.05355120111672	6.60102917673692e-05	0.00691065014923566	1.84406694663095	MKLN1_control-MKLN1_knockout
IQGAP2	Q13576	1.62792661620845	26.8572180729156	4.99676092038666	7.50496137821292e-05	0.00735486215064866	1.72540761574874	MKLN1_control-MKLN1_knockout
NFATC2IP	Q8NCF5	5.2314250111358	22.7754023460666	4.86926888416899	0.000100207676052557	0.00895019445856764	1.45793164860977	MKLN1_control-MKLN1_knockout
BCAT1	P54687	-5.96067956994886	24.3987221731238	-4.83888952366868	0.00010737432228258	0.00928019711877373	1.39398729705025	MKLN1_control-MKLN1_knockout
AKAP12	Q02952	-0.859593260540606	28.0996242442857	-4.72588066233604	0.000138916187706726	0.0107713474775677	1.15547471504588	MKLN1_control-MKLN1_knockout
NIT1	Q86X76	4.49612763347876	23.0993549673351	4.68874153810862	0.000151215106130358	0.0114728364393098	1.07688334095178	MKLN1_control-MKLN1_knockout
FN1	P02751	-2.09221831202787	28.1570648317157	-4.66006780725096	0.000161460443771226	0.0118673426171851	1.01614110999885	MKLN1_control-MKLN1_knockout
LRRC15	Q8TF66	-4.78398554345126	24.561408395206	-4.58957505554078	0.000189737348693358	0.0132792267924362	0.86658529908757	MKLN1_control-MKLN1_knockout
MRFAP1	Q9Y605	5.59082760699774	24.4623844953998	4.58878847163511	0.000190079635209191	0.0132792267924362	0.864914793633691	MKLN1_control-MKLN1_knockout
SEC22B	O75396	0.59481968570713	30.5424442703082	4.54144800337399	0.000211871862887807	0.0142377891860606	0.764310854248099	MKLN1_control-MKLN1_knockout
PBX1	P40424	1.10047555155596	26.9948050788808	4.44022752214112	0.000267316796754878	0.0165489961045722	0.548818297697209	MKLN1_control-MKLN1_knockout
CAVIN1	Q6NZI2	-0.578280061830956	30.9554624832608	-4.31913527408868	0.000353223085710125	0.0194714225997706	0.290461899175005	MKLN1_control-MKLN1_knockout
AASS	Q9UDR5	3.63784247231671	23.8208309965441	4.30483516712981	0.00036505299786329	0.0196627019307128	0.259920758876504	MKLN1_control-MKLN1_knockout
ITGB1	P05556	-0.587186869647233	31.5999358925796	-4.29542267304145	0.000373056264913515	0.0197916165806749	0.239815302048433	MKLN1_control-MKLN1_knockout
EPHX1	P07099	0.608949170098548	30.7466141451977	4.27235760344022	0.000393422036174805	0.0204116609356575	0.190538316511339	MKLN1_control-MKLN1_knockout
CAV1	Q03135	-0.859065030875406	31.5035287612412	-4.2268994576323	0.000436890705506006	0.0221777037269812	0.0933874021233754	MKLN1_control-MKLN1_knockout
VDAC3	Q9Y277	0.674780966598092	30.7441040709986	4.14073272300624	0.000532963966855188	0.0245790441184981	-0.0908440770077705	MKLN1_control-MKLN1_knockout
PC	P11498	1.00546117480855	28.5194216731362	4.05804957158251	0.000645020553774322	0.0280942285643927	-0.267657635413296	MKLN1_control-MKLN1_knockout
ACTN1	P12814	-0.526143361914706	31.892404922516	-4.03532028095865	0.000679765293097955	0.0292464872445072	-0.316257308411245	MKLN1_control-MKLN1_knockout
COL1A1	P02452	-1.84353555611929	29.1815092168708	-4.03024499557155	0.000687775760225362	0.0294117925100009	-0.327108543033926	MKLN1_control-MKLN1_knockout
SHTN1	A0MZ66	3.66735375833651	23.8663378086348	3.99834127166069	0.000740337279162773	0.0312803583339672	-0.395312650861502	MKLN1_control-MKLN1_knockout
RCC1	P18754	0.430400096898712	29.8225151948771	3.98690546979472	0.00076013981682064	0.0317369618194464	-0.419756348396736	MKLN1_control-MKLN1_knockout
SPAG9	O60271	-0.510878085155543	26.5748800198941	-3.97453574813351	0.00078215576989669	0.0324640653670061	-0.446193549051119	MKLN1_control-MKLN1_knockout
ECI1	P42126	0.47663655210523	29.0878769803752	3.96951998566596	0.000791263419337528	0.0326500274084538	-0.456912621140361	MKLN1_control-MKLN1_knockout
RRAS	P10301	-0.589452309500555	28.3555951370397	-3.92510540547042	0.000876674793567512	0.0351466894512066	-0.551804521326829	MKLN1_control-MKLN1_knockout
CD2AP	Q9Y5K6	-0.633949919996301	27.2708548291604	-3.91130777835967	0.00090503661914291	0.0358021870375057	-0.581272528511554	MKLN1_control-MKLN1_knockout
PYCR2	Q96C36	0.586590353660739	28.3255220030758	3.89379936634511	0.000942347160002645	0.0365340745108718	-0.618657377326385	MKLN1_control-MKLN1_knockout
LIMA1	Q9UHB6	-0.66206661025425	30.0351721622472	-3.8668310095944	0.00100283824432934	0.0380431540429452	-0.676221309882125	MKLN1_control-MKLN1_knockout
SPCS1	Q9Y6A9	-1.22426834263146	29.4683690371661	-3.85884869743502	0.00102147398690306	0.0383378747424894	-0.693254430824704	MKLN1_control-MKLN1_knockout
DDB2	Q92466	-0.558565049279146	27.4418942197381	-3.84686096262094	0.0010501108172205	0.0387936226508266	-0.71882985229542	MKLN1_control-MKLN1_knockout
BABAM1	Q9NWV8	-3.86354119730313	23.3388692730491	-3.7894214120617	0.00119880762604944	0.0427211444919437	-0.841288119835401	MKLN1_control-MKLN1_knockout
DPYSL3	Q14195	-0.989735178482416	29.0373325821898	-3.75444542138123	0.00129942235145954	0.0447254834726758	-0.915774961987123	MKLN1_control-MKLN1_knockout
IPO8	O15397	-0.49769942830822	27.7211801389724	-3.74894309625844	0.00131599706280168	0.0447619013006085	-0.927486859733183	MKLN1_control-MKLN1_knockout
ACADM	P11310	0.580426532813693	28.9551826326799	3.74063610603088	0.0013414188966333	0.0452873288738974	-0.945165247942835	MKLN1_control-MKLN1_knockout
ITCH	Q96J02	0.631476797823158	27.0521881086194	3.69707662252143	0.00148292058142409	0.0484738903066698	-1.03779598496029	MKLN1_control-MKLN1_knockout
COL5A1	P20908	-0.885095338424605	28.7605469296276	-3.67439922442227	0.00156234967896196	0.049657384390791	-1.08597052457929	MKLN1_control-MKLN1_knockout
CHTOP	Q9Y3Y2	0.535685636213483	28.4914027098925	3.66674105366797	0.00159011421954858	0.0497568943851428	-1.10223087707057	MKLN1_control-MKLN1_knockout
HMGCS1	Q01581	-1.01393757630027	27.7629884845506	-3.66576512347734	0.00159368737684839	0.0497568943851428	-1.10430273260477	MKLN1_control-MKLN1_knockout
CTNND1	O60716	-0.500823539715995	29.3527493992724	-3.65067731617973	0.00164995107128324	0.0509493336833358	-1.1363244743304	MKLN1_control-MKLN1_knockout
GSTM1	P09488	1.06915670300571	29.3987582224267	3.64235516906545	0.00168182237369492	0.0513720288692266	-1.15397968243448	MKLN1_control-MKLN1_knockout
DNMBP	Q6XZF7	4.5054077497306	22.4006992996486	3.63290377178364	0.00171875814095945	0.0520496027579822	-1.17402403099799	MKLN1_control-MKLN1_knockout
