Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	abs_fc
ACOX1	Q15067	0.587682509289966	26.2102443766177	5.22279067197083	0.00010245698769284	0.00109138425193294	1.10005475012459	MAEA_control-MAEA_knockout	0.587682509289966
IGF2BP2	Q9Y6M1	-4.53839634045196	24.3812330007663	-5.14374857334151	0.000119225804336461	0.001235561755317	0.946181755843805	MAEA_control-MAEA_knockout	4.53839634045196
KIF15	Q9NS87	-0.862736857442293	25.1510300109353	-5.10773741997907	0.00012778329708621	0.00130017072420062	0.875842080972228	MAEA_control-MAEA_knockout	0.862736857442293
SELENBP1	Q13228	2.24422703956189	26.8548745067486	5.07092145656171	0.000137190104141564	0.00137785901165264	0.803780626468148	MAEA_control-MAEA_knockout	2.24422703956189
KCTD12	Q96CX2	2.11663494449924	27.2255958991532	5.05930060703824	0.000140305636088824	0.0014011431022143	0.781003560293796	MAEA_control-MAEA_knockout	2.11663494449924
GLS	O94925	0.871570403672791	31.4043327477585	5.05609490638911	0.00014117787366502	0.00140745459799292	0.774717725932614	MAEA_control-MAEA_knockout	0.871570403672791
TMEM33	P57088	0.686142664070232	28.7571871346554	5.04182524725383	0.000145128971271612	0.0014346382446962	0.74672373512052	MAEA_control-MAEA_knockout	0.686142664070232
TMEM65	Q6PI78	4.7097555561025	22.4116942731509	5.03201373184224	0.000147911761144675	0.00145559748817402	0.727462812504906	MAEA_control-MAEA_knockout	4.7097555561025
MSI2	Q96DH6	0.896471028811096	27.0552338961669	5.02357560876974	0.000150349069974815	0.00147462904792263	0.710889654307825	MAEA_control-MAEA_knockout	0.896471028811096
NXN	Q6DKJ4	-1.10034016662283	26.6019613836596	-5.00786508793957	0.000154998042387918	0.00151179000721978	0.680012491342501	MAEA_control-MAEA_knockout	1.10034016662283
FOLR1	P15328	6.65681867103002	25.7835397381132	4.99251477268375	0.000159683835159504	0.00154719023526099	0.649817754865026	MAEA_control-MAEA_knockout	6.65681867103002
IDI1	Q13907	1.23835519388049	28.3002738977662	4.96818455645236	0.000167412422956299	0.0015974162572638	0.601907947393753	MAEA_control-MAEA_knockout	1.23835519388049
EHD4	Q9H223	-0.593117312880615	28.5629331366035	-4.92256986525644	0.000182959138951358	0.00172330644491376	0.511918932937165	MAEA_control-MAEA_knockout	0.593117312880615
DYNLT3	P51808	0.648271691871663	27.7184429974125	4.89407825885595	0.000193418220480193	0.00181018032117139	0.455601850989083	MAEA_control-MAEA_knockout	0.648271691871663
REXO4	Q9GZR2	-0.962102623568917	26.1970831278189	-4.88895323419711	0.000195364035375897	0.00182450493398872	0.445462885078208	MAEA_control-MAEA_knockout	0.962102623568917
CPOX	P36551	-0.840948620914315	26.0214496730397	-4.88585567324836	0.000196549854774137	0.00183168623940097	0.439333618632299	MAEA_control-MAEA_knockout	0.840948620914315
DTD1	Q8TEA8	-0.917208483017347	26.0495691230735	-4.8120230172823	0.000227121486310386	0.00205343994001612	0.292956291272676	MAEA_control-MAEA_knockout	0.917208483017347
TSEN34	Q9BSV6	-0.598201058881259	25.1294123975104	-4.79699609397333	0.000233921377346379	0.00210409525498463	0.263099554325726	MAEA_control-MAEA_knockout	0.598201058881259
USP36	Q9P275	-5.78658796219845	22.5118840278594	-4.78928696102483	0.000237490852708178	0.00212966287101987	0.247774043557963	MAEA_control-MAEA_knockout	5.78658796219845
NCBP3	Q53F19	-6.11069125171843	23.7691211998457	-4.76263629896308	0.000250268385596621	0.00222607142978047	0.194750134346412	MAEA_control-MAEA_knockout	6.11069125171843
QSER1	Q2KHR3	-1.2449048321188	25.121479370774	-4.73705153062009	0.000263200800731778	0.00230113253688305	0.143784651602546	MAEA_control-MAEA_knockout	1.2449048321188
TLN1	Q9Y490	0.674444978256155	30.6640111533768	4.7343863331635	0.000264586943725102	0.00230673617207956	0.138472049508963	MAEA_control-MAEA_knockout	0.674444978256155
NUFIP2	Q7Z417	-0.658625308845291	27.7578057472173	-4.70649867072276	0.000279549311433846	0.00239721266447638	0.082844226143588	MAEA_control-MAEA_knockout	0.658625308845291
PCOLCE	Q15113	-5.05510065249555	22.4627272926046	-4.68066341690499	0.000294186743443117	0.00249306952881207	0.0312482336132005	MAEA_control-MAEA_knockout	5.05510065249555
CHMP6	Q96FZ7	-5.72579176146972	22.9159428435793	-4.66339643044431	0.000304406759086845	0.00256101930906191	-0.00326865490886252	MAEA_control-MAEA_knockout	5.72579176146972
NR2F2	P24468	-5.83956020442823	22.8933118172715	-4.64302404224448	0.000316935302126044	0.00265083670462367	-0.0440264205889287	MAEA_control-MAEA_knockout	5.83956020442823
EPHB2	P29323	-5.045960735654	23.8460764838272	-4.63968806588019	0.000319036767875667	0.00265753091572641	-0.0507038810209908	MAEA_control-MAEA_knockout	5.045960735654
IFI16	Q16666	-0.862031262676332	26.8431700733264	-4.60822793146519	0.000339572588098403	0.00278373498526938	-0.113722160753836	MAEA_control-MAEA_knockout	0.862031262676332
APPL1	Q9UKG1	0.617902324441999	27.0132192305589	4.60547940868233	0.000341429979367577	0.00279374921665016	-0.119231683257063	MAEA_control-MAEA_knockout	0.617902324441999
IDH2	P48735	0.635207943740291	26.7068097830991	4.59943953095093	0.000345548320728006	0.00281991568894443	-0.131341040379813	MAEA_control-MAEA_knockout	0.635207943740291
CNN1	P51911	1.26277041406819	28.7835142340857	4.59528792317868	0.000348408666044779	0.00283239163478402	-0.13966633688579	MAEA_control-MAEA_knockout	1.26277041406819
UBE2R2	Q712K3	0.605201025224492	27.3411133577173	4.58320440831063	0.000356872957011261	0.00289584445633884	-0.163905619026226	MAEA_control-MAEA_knockout	0.605201025224492
NDUFB1	O75438	0.823253981968556	25.2913053776778	4.57661834697931	0.000361574934818786	0.00292051519042968	-0.177122091762038	MAEA_control-MAEA_knockout	0.823253981968556
MAN1A2	O60476	-6.02844607003802	20.3985701951631	-4.57298928410375	0.000364192940477863	0.0029362638173573	-0.184406143142674	MAEA_control-MAEA_knockout	6.02844607003802
PBDC1	Q9BVG4	-6.34823060384797	24.0546673272095	-4.56958710475831	0.00036666493394884	0.00294687785875918	-0.191235762539337	MAEA_control-MAEA_knockout	6.34823060384797
UBE2H	P62256	6.42236334313208	25.5074238200938	4.54842395704873	0.000382433307872854	0.00305529446326058	-0.233739778437245	MAEA_control-MAEA_knockout	6.42236334313208
MED12	Q93074	-5.52855092534444	22.4968724547279	-4.51338697832876	0.000410084186902018	0.00323973458119144	-0.304184416489666	MAEA_control-MAEA_knockout	5.52855092534444
SLC7A5	Q01650	0.724275941419123	31.5958622834499	4.49349994201968	0.000426682410903952	0.00333956523877424	-0.344210199389251	MAEA_control-MAEA_knockout	0.724275941419123
TM9SF2	Q99805	0.803255356790949	28.4552839005563	4.49270672578136	0.000427358549366729	0.00333956523877424	-0.345807279739482	MAEA_control-MAEA_knockout	0.803255356790949
HSPB8	Q9UJY1	0.718974490685877	28.7832622227085	4.49019273642738	0.000429508738853926	0.00335215168476759	-0.350869311016623	MAEA_control-MAEA_knockout	0.718974490685877
AASS	Q9UDR5	-4.68292712075828	22.958909922398	-4.48211671320496	0.000436491371949651	0.00339158813147085	-0.367133879321764	MAEA_control-MAEA_knockout	4.68292712075828
