Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast
HNRNPUL1	Q9BUJ2	-0.263410705345958	29.1065298281136	-4.69326701434304	0.000286950014814664	0.00243644128520895	-0.0318634522534937	RMND5A_control-RMND5A_knockout
CDK2	P24941	-0.25329933988278	28.3237554787993	-4.69103207251643	0.000288219799989053	0.00244486061998436	-0.0363408459861256	RMND5A_control-RMND5A_knockout
BRCC3	P46736	1.12833903135589	25.8484649406986	4.67902221364154	0.000295142794306088	0.00249876192327736	-0.0604083588325013	RMND5A_control-RMND5A_knockout
EEA1	Q15075	-0.421100093878657	26.8641215633014	-4.67828488078303	0.000295573351936458	0.00249999866873685	-0.0618863659266031	RMND5A_control-RMND5A_knockout
PLCB4	Q15147	-0.851122972614675	24.8252444904719	-4.67352208713414	0.000298370127428455	0.0025188056482625	-0.071434666029087	RMND5A_control-RMND5A_knockout
YAP1	P46937	-0.663116693949366	28.1749108162782	-4.66988646588683	0.000300523302433748	0.00253454777522819	-0.0787245590357601	RMND5A_control-RMND5A_knockout
THBS1	P07996	-1.04212616422641	27.7935751646136	-4.66318137744449	0.000304536319750762	0.00256101930906191	-0.0921721019451525	RMND5A_control-RMND5A_knockout
IPO5	O00410	0.262204929103003	30.0374828814569	4.64572139597605	0.000315246527473144	0.00264349855289502	-0.127207297606006	RMND5A_control-RMND5A_knockout
GDI2	P50395	-0.172191699016192	30.7923819591617	-4.64328086971021	0.000316774106670442	0.00265083670462367	-0.132106506120523	RMND5A_control-RMND5A_knockout
RBM25	P49756	-0.317760491856664	28.4081489717455	-4.6425003245679	0.000317264269922104	0.00265083670462367	-0.133673508622194	RMND5A_control-RMND5A_knockout
WASL	O00401	0.436971741756995	26.1104748044543	4.64239861393241	0.000317328199051445	0.00265083670462367	-0.13387770405764	RMND5A_control-RMND5A_knockout
DAZAP1	Q96EP5	-0.206746644468478	29.2110511512679	-4.64174096906329	0.000317741874120274	0.00265177169018896	-0.135198020337353	RMND5A_control-RMND5A_knockout
TRIM26	Q12899	-0.461477074837248	25.0649875183552	-4.64002777280088	0.00031882211997785	0.00265753091572641	-0.138637677245773	RMND5A_control-RMND5A_knockout
NELFE	P18615	-0.568608514840509	26.8727562667824	-4.63892018995368	0.000319522506542167	0.00265905661694372	-0.140861549011198	RMND5A_control-RMND5A_knockout
TRNT1	Q96Q11	-0.326155107063922	26.9672917013087	-4.6341507011725	0.000322556619697759	0.00268176686272839	-0.150439186292625	RMND5A_control-RMND5A_knockout
MZT2B	Q6NZ67	0.487846973763656	25.0515453915967	4.6313521665734	0.00032435066644062	0.00268905061950959	-0.15605982083929	RMND5A_control-RMND5A_knockout
NAP1L1	P55209	-0.363136783767445	31.3367882067569	-4.62313221450018	0.000329679679607974	0.00272564230298599	-0.172572694189033	RMND5A_control-RMND5A_knockout
YWHAQ	P27348	0.426055562238815	32.4601435021593	4.6231091094145	0.000329694784714851	0.00272564230298599	-0.17261911733112	RMND5A_control-RMND5A_knockout
NUP214	P35658	-0.268859508466551	28.3271733557152	-4.62247698190798	0.000330108318132325	0.00272584813235904	-0.17388921602809	RMND5A_control-RMND5A_knockout
CAP2	P40123	-0.538242787180334	27.1095832558815	-4.62212312883751	0.000330340038798632	0.00272584813235904	-0.174600207719008	RMND5A_control-RMND5A_knockout
SUGP2	Q8IX01	-0.556342564727249	25.4646938603871	-4.61900842882137	0.000332386918217909	0.00274016532579642	-0.180858972254701	RMND5A_control-RMND5A_knockout
DNM2	P50570	-0.274194047632893	27.9014920110729	-4.61706311740723	0.000333671914904413	0.00274818068245547	-0.18476833908722	RMND5A_control-RMND5A_knockout
AGK	Q53H12	0.392255034296824	26.7941687499106	4.61351585541545	0.000336028242120275	0.00276240990809446	-0.191897840579298	RMND5A_control-RMND5A_knockout
CUL3	Q13618	0.298106610108846	26.9974748573846	4.61193317468871	0.000337085068238427	0.00276850801839187	-0.195079139748106	RMND5A_control-RMND5A_knockout
SNCG	O76070	5.91487484706859	25.2219304803822	4.61008233855304	0.000338325282784161	0.00277609951924109	-0.198799709249345	RMND5A_control-RMND5A_knockout
ITPRID2	P28290	3.7205159485005	23.6505596992025	4.60676416764718	0.00034056047297678	0.00278923153450135	-0.205470628000712	RMND5A_control-RMND5A_knockout
RRAS	P10301	-0.593273568295373	27.8609217126726	-4.59937807400045	0.000345590486685611	0.00281991568894443	-0.220322987555169	RMND5A_control-RMND5A_knockout
